,asctime,levelname,message,session,question,answer,context,history,timestamp,feedback_score,feedback_text
94,"2024-05-28 06:32:01,568",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,همه منوهای اطلاعات پایه رو برام بیار,"منوهای اطلاعات پایه شامل موارد زیر هستند:

- کالا
- مراکز نگهداری
- انبار
- بخش‌های فیزیکی داخلی انبار
- الگوی اسناد
- سند
- مقدار سند

آیا می‌توانم در خدمتی دیگر به شما باشم؟","﻿    مقدمه
    معرفي ماژول دفتر كل
روی دکمه‌ی  كلیك كنید یا از روی صفحه‌کلید، کلید Enter را فشار دهید.
در کادر محاوره‌ی باز شده اطلاعات نمایش داده شده به شرح زیر است:
منوی عمودی
در منوی عمودی، نرم‌افزارهای مختلف راهکاران را به تفکیک حوزه‌های محصولی می‌بینید.
منوی افقی بالای صفحه
3- روي دکمه‌ی   كليك كنيد یا بر روی صفحه کلید دکمه‌ی Enter را فشار دهید.
در فرم باز شده اطلاعات نمایش داده شده به شرح زیر است:
1- منوی عمودی: در منوی عمودی، نرم‌افزارهای مختلف راهکاران به تفکیک حوزه‌های محصولی قابل مشاهده است.
زیرمجموعه هر یک از موارد اطلاعات پایه و عملیات انبار موجودیت‌های مرتبط مانند کالا، مراکز نگهداری، انبار، سند، مقدار سند، الگوی اسناد و ... مشاهده می‌شود.
بسته به نیاز می‌توانید هریک از این اطلاعات را انتخاب کرده و با کشیدن و انداختن در قسمت چپ کادر محاوره فیلد مورد نظر نمایش داده خواهد شد.
تصویر ‌‌43: Drag & Drop کردن اطلاعات انبار به کادر محاوره اصلی","user: اطلاعات پایه انبار چی ها هستن؟
assistant: اطلاعات پايه انبار شامل موارد زیر می‌شود:

- کالا
- مراکز نگهداری
- انبار
- بخش‌های فیزیکی داخلی انبار

این اطلاعات در نرم‌افزار انبار همکاران سیستم قابل تنظیم و مدیریت هستند.
user: لطفا ادامه بده
assistant: با انتخاب گزینه ""گزارش‌ها"" از منوی ""انبار و حسابداری انبار""، می‌توانید گام بعدی برای بررسی اطلاعات پایه را انجام دهید. 

پس از کلیک بر روی گزینه ""اطلاعات پایه""، کادر محاوره‌ای باز می‌شود که امکان نمایش مشخصات کالا، مراکز نگهداری، انبارها و بخش‌های داخلی را فراهم می‌کند. شما می‌توانید فیلدهای مورد نظر خود را انتخاب و در قسمت چپ کادر کشیده و رها کنید (Drag & Drop). این کار باعث می‌شود تا نرم‌افزار اطلاعات مورد نظر شما را نمایش دهد.",2024-05-28 06:32:01.568960+00:00,,
116,"2024-05-28 06:34:04,683",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,عملیات انبار شامل چه چیزهایی هست؟,"عملیات انبار شامل موارد زیر است:

- ورود و خروج کالا
- انتقال کالا بین انبارها
- انتقال کالا به مراکز نگهداری
- بستن انبار و انتقال موجودی
- عملیات گروهی اسناد

آیا در رابطه با عملیات انبار سوال دیگری دارید؟","حجم عملیاتی که در انبارهای سازمان انجام می‌شود، بسیار زیاد است. انجام این فعالیت‌ها زمان‌بر بوده و هزینه‌های زیادی را در بر می‌گیرد. از این رو در جهت تسریع در انجام این عملیات در نرم‌افزار انبار و حسابداری انبار راهکاران تسهیلاتی برای انجام این امور در نظر گرفته شده است که کاربران بتوانند در کمترین زمان ممکن این عملیات را انجام دهند. در عملیات گروهی اسناد، کاربران می‌توانند چهار دسته عملیات را به
یکی از فرآیندهای اصلی در عملیات انبارداری، کنترل و ثبت اطلاعات ورود و خروج کالاست. این فرآیند از طریق ثبت رسیدها و حواله‌های انبار صورت می‌گیرد. بدیهی است که در بسیاری از موارد، این رسیدها و حواله‌ها ممکن است با یکدیگر ارتباط داشته باشند. به این معنی که در ثبت یک رسید ممکن است از اطلاعات یک یا چند حواله مرتبط با آن استفاده شود (و یا بالعکس). این ارتباطات در نرم‌افزار انبار و حسابداری انبار
بستن انبار و انتقال موجودي
هدف از استقرار حساب‌هاي انبار، ثبت و نگهداري اطلاعات حسابداري مرتبط با عمليات خريد، فروش، مصرف، توليد كالا و غيره در حساب‌هاي معين و تفصيلي مرتبط با آن‌ها مي‌باشد. اين اطلاعات از طريق اسناد انبار مربوطه با هدف تهيه صورت‌هاي مالي عملكرد دوره، جمع‌آوري مي‌گردد. براي اين منظور، تعدادي گروه حساب مشخص (نظير گروه حساب موجودي، گروه حساب كرايه حمل، گروه حساب خريد و غيره) در يك فرم مشخص طراحي شده است","user: اطلاعات پایه انبار چی ها هستن؟
assistant: اطلاعات پايه انبار شامل موارد زیر می‌شود:

- کالا
- مراکز نگهداری
- انبار
- بخش‌های فیزیکی داخلی انبار

این اطلاعات در نرم‌افزار انبار همکاران سیستم قابل تنظیم و مدیریت هستند.
user: لطفا ادامه بده
assistant: با انتخاب گزینه ""گزارش‌ها"" از منوی ""انبار و حسابداری انبار""، می‌توانید گام بعدی برای بررسی اطلاعات پایه را انجام دهید. 

پس از کلیک بر روی گزینه ""اطلاعات پایه""، کادر محاوره‌ای باز می‌شود که امکان نمایش مشخصات کالا، مراکز نگهداری، انبارها و بخش‌های داخلی را فراهم می‌کند. شما می‌توانید فیلدهای مورد نظر خود را انتخاب و در قسمت چپ کادر کشیده و رها کنید (Drag & Drop). این کار باعث می‌شود تا نرم‌افزار اطلاعات مورد نظر شما را نمایش دهد.
user: همه منوهای اطلاعات پایه رو برام بیار
assistant: منوهای اطلاعات پایه شامل موارد زیر هستند:

- کالا
- مراکز نگهداری
- انبار
- بخش‌های فیزیکی داخلی انبار
- الگوی اسناد
- سند
- مقدار سند

آیا می‌توانم در خدمتی دیگر به شما باشم؟",2024-05-28 06:34:04.683548+00:00,,
140,"2024-05-28 06:34:58,061",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,آیا عملیات دیگری هم وجود داره؟,"بله، عملیات دیگری نیز وجود دارد که به آن‌ها «عملیات گروهی» می‌گویند. این عملیات شامل موارد زیر است:

1) انتقال گروهی کالا از انبار به مراکز نگهداری
2) انتقال گروهی کالا بین انبارهای مختلف
3) انتقال گروهی موجودی کالا از یک بخش داخلی به بخش دیگر در همان انبار
4) انتقال گروهی اسناد به کالاها و یا مراکز نگهداری
5) حذف گروهی اسناد
6) بستن گروهی اسناد
7) تخصیص گروهی طبقه کالا به کالا
8) تغییر نام گروهی کالا
9) تغییر نام گروهی مراکز نگهداری
10) تغییر نام گروهی انبارها
11) تغییر نام گروهی بخش‌های داخلی انبارها
12) حذف گروهی کالاها
13) حذف گروهی مراکز نگهداری
14) حذف گروهی انبارها
15) حذف گروهی بخش‌های داخلی انبارها
16) حذف گروهی الگوی اسناد
17) حذف گروهی سندها
18) حذف گروهی مقادیر سندها


آیا در رابطه با عملیات انبار سوال دیگری دارید؟","5)عمليات پايان سال
    عمليات پايان سال عملياتي هستند كه در پايان دوره مالي انجام مي شوند و برخي به خاطر الزام قانوني انجام مي شود و برخي به خاطر تهيه گزارشات (صورتهاي مالي و ...) وانتقال حسابها به سال بعد.
    به دليل آنكه معمولا دوره مالي برابر يكسال است و نيز برخي از اين عمليات ها لزوما بايد پس از پايان يكسال فعاليت واحد تجاري انجام شود به اين عمليات معمولا عمليات پايان سال مالي مي گويند.
فصل ششم:
عملیات پایان سال
اهداف فصل 
در این فصل با عملیات «پایان سال مالی» در دفتر کل آشنا می‌شویم؛ این عملیات شامل «بستن حساب‌ها»، «تعدیل ماهیت» و «اختتامیه» و افتتاحیه» خواهد بود.
عملیات پایان دوره مالی
فرآیند عملیات حسابداری شامل مجموعه‌ای از مراحل است که به طور پیاپی در هر دوره‌ی مالی تکرار می‌شود. این عملیات حسابداری در دو مقطع زمانی به شرح زیر صورت می‌گیرد:
مرحله یازدهم: بستن حساب‌های دائمی
در فصول قبل روش سیستمی بخش اول را ـ‌که شامل عملیات طی دوره‌ی مالی بودـ بررسی کردیم. در این فصل به بخش دوم عملیات یعنی عملیات پایان دوره‌ی مالی می‌پردازیم. در بخش ابتدا روش عمل در حسابداری توضیح داده می‌شود و سپس بخش‌هایی که باید از طریق فرآیند سیستم پیش روند توضیح داده می‌شود. (اسکندری، اصول حسابداری1؛ 93 و 94)
در گام بعد، دکمه  را انتخاب کنید تا عملیات انجام شود.
تصویر ‌‌88: کادر محاوره‌ی تخصیص گروهی طبقه کالا به کالا
به اختصار سایر عملیات گروهی را توضیح خواهیم داد:","user: اطلاعات پایه انبار چی ها هستن؟
assistant: اطلاعات پايه انبار شامل موارد زیر می‌شود:

- کالا
- مراکز نگهداری
- انبار
- بخش‌های فیزیکی داخلی انبار

این اطلاعات در نرم‌افزار انبار همکاران سیستم قابل تنظیم و مدیریت هستند.
user: لطفا ادامه بده
assistant: با انتخاب گزینه ""گزارش‌ها"" از منوی ""انبار و حسابداری انبار""، می‌توانید گام بعدی برای بررسی اطلاعات پایه را انجام دهید. 

پس از کلیک بر روی گزینه ""اطلاعات پایه""، کادر محاوره‌ای باز می‌شود که امکان نمایش مشخصات کالا، مراکز نگهداری، انبارها و بخش‌های داخلی را فراهم می‌کند. شما می‌توانید فیلدهای مورد نظر خود را انتخاب و در قسمت چپ کادر کشیده و رها کنید (Drag & Drop). این کار باعث می‌شود تا نرم‌افزار اطلاعات مورد نظر شما را نمایش دهد.
user: همه منوهای اطلاعات پایه رو برام بیار
assistant: منوهای اطلاعات پایه شامل موارد زیر هستند:

- کالا
- مراکز نگهداری
- انبار
- بخش‌های فیزیکی داخلی انبار
- الگوی اسناد
- سند
- مقدار سند

آیا می‌توانم در خدمتی دیگر به شما باشم؟
user: عملیات انبار شامل چه چیزهایی هست؟
assistant: عملیات انبار شامل موارد زیر است:

- ورود و خروج کالا
- انتقال کالا بین انبارها
- انتقال کالا به مراکز نگهداری
- بستن انبار و انتقال موجودی
- عملیات گروهی اسناد

آیا در رابطه با عملیات انبار سوال دیگری دارید؟",2024-05-28 06:34:58.061100+00:00,,
166,"2024-05-28 06:38:05,009",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,چجوری یه کالا رو از یه انبار به انبار دیگه انتقال بدم؟,"برای انتقال کالایی از یک انبار به انبار دیگر، می‌توانید از سند انتقال بین انبار استفاده کنید. این سند موجودی انبار مبدأ را کاهش داده و موجودی انبار مقصد را افزایش می‌دهد.

مراحل کار به این صورت است که ابتدا باید سند جدیدی از نوع انتقال بین انبارها ایجاد کنید. پس از انتخاب این سند، کالای مورد نظر خود را انتخاب کرده و انبار مبدأ را مشخص نمایید. سپس در بخش مقابل نام انبار مقصدی که می‌خواهید کالا منتقل شود را وارد کنید. در پایان نیز می‌توانید سند را ذخیره کنید.","بستن انبار و انتقال موجودي
انتقال بین انبار
اگر بخواهیم موجودی کالایی را از یک انبار به انبار دیگری منتقل کنیم از اسناد انتقال بین انبار استفاده می‌کنیم، اسناد انتقال بین انبار موجودی انبار مبدأ را کاهش داده و موجودی انبار مقصد را افزایش می‌دهد.
در اسناد از نوع انتقال بین انبار، کالا از یک انبار خارج و به انبار دیگر وارد می شود، لذا برای این نوع اسناد نیاز است که نام فیلد انبار مقابل نیر مشخص شود.
نکته 1: در صورتی که بخواهید تعدادی از انبارها را به صورت یکجا به یک کالا اختصاص دهید، می‌توانید از دکمه  استفاده کنید. پس از کلیک روی این دکمه، فهرست کلیه انبارها باز شده و انبارهای مورد نظر را انتخاب و تأیید کنید.
تصویر ‌‌57: کادر محاوره‌ی اختصاص گروهی انبار به کالا
نکته 2: در صورتی که بخواهید کالا را به محل فیزیکی در یک انبار اختصاص دهید، نیاز است که گام‌های زیر برداشته شود:","user: اطلاعات پایه انبار چی ها هستن؟
assistant: اطلاعات پايه انبار شامل موارد زیر می‌شود:

- کالا
- مراکز نگهداری
- انبار
- بخش‌های فیزیکی داخلی انبار

این اطلاعات در نرم‌افزار انبار همکاران سیستم قابل تنظیم و مدیریت هستند.
user: لطفا ادامه بده
assistant: با انتخاب گزینه ""گزارش‌ها"" از منوی ""انبار و حسابداری انبار""، می‌توانید گام بعدی برای بررسی اطلاعات پایه را انجام دهید. 

پس از کلیک بر روی گزینه ""اطلاعات پایه""، کادر محاوره‌ای باز می‌شود که امکان نمایش مشخصات کالا، مراکز نگهداری، انبارها و بخش‌های داخلی را فراهم می‌کند. شما می‌توانید فیلدهای مورد نظر خود را انتخاب و در قسمت چپ کادر کشیده و رها کنید (Drag & Drop). این کار باعث می‌شود تا نرم‌افزار اطلاعات مورد نظر شما را نمایش دهد.
user: همه منوهای اطلاعات پایه رو برام بیار
assistant: منوهای اطلاعات پایه شامل موارد زیر هستند:

- کالا
- مراکز نگهداری
- انبار
- بخش‌های فیزیکی داخلی انبار
- الگوی اسناد
- سند
- مقدار سند

آیا می‌توانم در خدمتی دیگر به شما باشم؟
user: عملیات انبار شامل چه چیزهایی هست؟
assistant: عملیات انبار شامل موارد زیر است:

- ورود و خروج کالا
- انتقال کالا بین انبارها
- انتقال کالا به مراکز نگهداری
- بستن انبار و انتقال موجودی
- عملیات گروهی اسناد

آیا در رابطه با عملیات انبار سوال دیگری دارید؟
user: آیا عملیات دیگری هم وجود داره؟
assistant: بله، عملیات دیگری نیز وجود دارد که به آن‌ها «عملیات گروهی» می‌گویند. این عملیات شامل موارد زیر است:

1) انتقال گروهی کالا از انبار به مراکز نگهداری
2) انتقال گروهی کالا بین انبارهای مختلف
3) انتقال گروهی موجودی کالا از یک بخش داخلی به بخش دیگر در همان انبار
4) انتقال گروهی اسناد به کالاها و یا مراکز نگهداری
5) حذف گروهی اسناد
6) بستن گروهی اسناد
7) تخصیص گروهی طبقه کالا به کالا
8) تغییر نام گروهی کالا
9) تغییر نام گروهی مراکز نگهداری
10) تغییر نام گروهی انبارها
11) تغییر نام گروهی بخش‌های داخلی انبارها
12) حذف گروهی کالاها
13) حذف گروهی مراکز نگهداری
14) حذف گروهی انبارها
15) حذف گروهی بخش‌های داخلی انبارها
16) حذف گروهی الگوی اسناد
17) حذف گروهی سندها
18) حذف گروهی مقادیر سندها


آیا در رابطه با عملیات انبار سوال دیگری دارید؟",2024-05-28 06:38:05.009296+00:00,,
194,"2024-05-28 06:46:37,473",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,انواع وضعیت های کالا چیه؟,"وضعیت‌های کالا می‌توانند شامل موارد زیر باشند:

 - فعال
 - غیرفعال
 - معلق

آیا می‌توانم به شما در مورد بخش دیگری کمک کنم؟","وضعیت: اکثر موجودیت‌های نرم‌افزار دارای بخش وضعیت هستند که هرکدام نیز دارای مقادیر از پیش تعیین شده‌ای هستند، مثلاً بخش وضعیت در موجودیت فاکتور دارای مقادیر تأیید شده، ابطال و یا معلق است و در موجودیت مشتری همین بخش دارای مقادیر فعال، غیرفعال و یا معلق است، لذا با انتخاب این نوع برای پارامتر لازم است موجودیت مورد نظر را نیز مشخص کنیم.
انواع موجودي: موجودي انواع مختلفي دارد كه عمومي‌ترين آن، موجودي كالا است. با حفظ اين عموميت، بسته به ماهيت كالاها، موجودي نيز به انواع مختلفي نظير: موجودي مواد اوليه، موجودي نيمه ساخته، موجودي محصول و موجودي ضايعات تقسيم‌بندي مي‌گردد.
تصویر ‌‌46: معلق کردن کالا
در صورتی که کالا غیرفعال باشد امکان انتخاب گزینه‌های «معلق در اسناد ورودی» و «معلق در اسناد خروجی» وجود نخواهد داشت.
نکته 4: برای مشاهده واحد سنجش دوم در تعریف کالا باید تیک «پشتیبانی از کالای دو واحدی» در تنظیمات نرم‌افزار را بزنید.
تصویر ‌‌47: تنظیمات کالای دو واحدی
محصول نهایی
نیمه ساخته
دارایی ثابت
سایر
نوع کالا را با توجه به ماهیت انتخاب شده در قسمت قبل، انتخاب کنید.
تصویر ‌‌45: کادر محاوره‌ی تعریف کالا","user: چجوری یه کالا رو از یه انبار به انبار دیگه انتقال بدم؟
assistant: برای انتقال کالایی از یک انبار به انبار دیگر، می‌توانید از سند انتقال بین انبار استفاده کنید. این سند موجودی انبار مبدأ را کاهش داده و موجودی انبار مقصد را افزایش می‌دهد.

مراحل کار به این صورت است که ابتدا باید سند جدیدی از نوع انتقال بین انبارها ایجاد کنید. پس از انتخاب این سند، کالای مورد نظر خود را انتخاب کرده و انبار مبدأ را مشخص نمایید. سپس در بخش مقابل نام انبار مقصدی که می‌خواهید کالا منتقل شود را وارد کنید. در پایان نیز می‌توانید سند را ذخیره کنید.",2024-05-28 06:46:37.473128+00:00,,
224,"2024-05-28 06:53:38,545",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,ماهیت های کالا چیا هستن,"انواع مختلف کالا شامل موارد زیر هستند:

 - کالای عمومی
 - مواد اولیه
 - نیمه ساخته
 - محصول نهایی
 - دارایی ثابت
 - سایر","یک کالا از ترکیب دو یا چند کالاهای دیگر تشکیل شده باشد و هم موجودی این کالا در انبار نگهداری شود و هم موجودی اجزای تشکیل دهنده آن ثبت و کنترل شود. (چنین کالایی در انبار وجود فیزیکی دارد و مثلاً هنگام خروج از انبار می‌خواهند علاوه بر اینکه موجودی این کالا کسر شود، بلکه موجودی اجزای تشکیل‌دهنده آن نیز به صورت خودکار کسر شود).
برای تعریف اجزای کالا نیاز است که گام‌های زیر در نرم‌افزار برداشته شود:
مشخصه کالا: در صورتی که مشخصه‌هایی از قبیل مشخصه فنی، طول، عرض، ارتفاع یا وزن کالا در کدینگ کالایی در شرکت شما مورد استفاده قرار می‌گیرد، با این پارامتر می‌توانید این مورد را در نرم‌افزار پیاده‌سازی کنید.
همچنین مفاهیمی در ارتباط با هر کالا همچون ویژگی کالا، عامل کنترل موجودی، کالای جایگزین و کالای مشابه را نیز یاد گرفتیم. دریافتیم که چگونه می‌توانیم اطلاعات سفارش گذاری هر کالا را به تفکیک مراکز نگهداری مختلف تعریف کنیم.
علاوه بر این نحوه کد گذاری صحیح کالاها بر حسب نیاز سازمان خود را نیز با الگوی کدینگ کالا فراگرفتیم و در نهایت با موجودیت اجزای کالا برای تعریف فهرست تشکیل دهنده یک کالا آشنا شدیم.
ویژگی کالا: در ویژگی کالا شما می‌توانید ویژگی‌های تعریف شده برای کالای مورد نظر خود را در الگوی بارکد استفاده کنید. به این صورت که با انتخاب این مشخصه باید ویژگی مربوطه را انتخاب کرده سپس کد این ویژگی به عنوان ارقام تشکیل دهنده بارکد شما قرار خواهد گرفت.","user: چجوری یه کالا رو از یه انبار به انبار دیگه انتقال بدم؟
assistant: برای انتقال کالایی از یک انبار به انبار دیگر، می‌توانید از سند انتقال بین انبار استفاده کنید. این سند موجودی انبار مبدأ را کاهش داده و موجودی انبار مقصد را افزایش می‌دهد.

مراحل کار به این صورت است که ابتدا باید سند جدیدی از نوع انتقال بین انبارها ایجاد کنید. پس از انتخاب این سند، کالای مورد نظر خود را انتخاب کرده و انبار مبدأ را مشخص نمایید. سپس در بخش مقابل نام انبار مقصدی که می‌خواهید کالا منتقل شود را وارد کنید. در پایان نیز می‌توانید سند را ذخیره کنید.
user: انواع وضعیت های کالا چیه؟
assistant: وضعیت‌های کالا می‌توانند شامل موارد زیر باشند:

 - فعال
 - غیرفعال
 - معلق

آیا می‌توانم به شما در مورد بخش دیگری کمک کنم؟",2024-05-28 06:53:38.545782+00:00,,
256,"2024-05-28 06:57:05,150",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,معلق کردن کالا کجاها تاثیر میذاره؟,معلق کردن کالا بر روی اسناد ورودی و خروجی آن کالا تاثیر خواهد داشت. به این معنی که گزینه‌های «معلق در اسناد ورودی» و «معلق در اسناد خروجی» برای آن کالا غیرفعال خواهند شد.,"تصویر ‌‌46: معلق کردن کالا
در صورتی که کالا غیرفعال باشد امکان انتخاب گزینه‌های «معلق در اسناد ورودی» و «معلق در اسناد خروجی» وجود نخواهد داشت.
نکته 4: برای مشاهده واحد سنجش دوم در تعریف کالا باید تیک «پشتیبانی از کالای دو واحدی» در تنظیمات نرم‌افزار را بزنید.
تصویر ‌‌47: تنظیمات کالای دو واحدی
عوامل را به صورت گروهی به کالا اختصاص خواهید داد.
ذخیره کالا کنترل می‌کند که طول کد کالا کمتر یا بیشتر از مقدار تنظیمات نباشد. همچنین اگر مقدار آن متغیر قرار داده شود، نرم‌افزار در هنگام ذخیره کنترل می‌کند که طول وارد شده توسط کاربر کمتر یا مساوی مقدار وارد شده در تنظیمات باشد.
بستن انبار و انتقال موجودي","user: چجوری یه کالا رو از یه انبار به انبار دیگه انتقال بدم؟
assistant: برای انتقال کالایی از یک انبار به انبار دیگر، می‌توانید از سند انتقال بین انبار استفاده کنید. این سند موجودی انبار مبدأ را کاهش داده و موجودی انبار مقصد را افزایش می‌دهد.

مراحل کار به این صورت است که ابتدا باید سند جدیدی از نوع انتقال بین انبارها ایجاد کنید. پس از انتخاب این سند، کالای مورد نظر خود را انتخاب کرده و انبار مبدأ را مشخص نمایید. سپس در بخش مقابل نام انبار مقصدی که می‌خواهید کالا منتقل شود را وارد کنید. در پایان نیز می‌توانید سند را ذخیره کنید.
user: انواع وضعیت های کالا چیه؟
assistant: وضعیت‌های کالا می‌توانند شامل موارد زیر باشند:

 - فعال
 - غیرفعال
 - معلق

آیا می‌توانم به شما در مورد بخش دیگری کمک کنم؟
user: ماهیت های کالا چیا هستن
assistant: انواع مختلف کالا شامل موارد زیر هستند:

 - کالای عمومی
 - مواد اولیه
 - نیمه ساخته
 - محصول نهایی
 - دارایی ثابت
 - سایر",2024-05-28 06:57:05.150906+00:00,,
290,"2024-05-28 07:03:52,055",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,چجوری یه کالا رو تو انبار رسید موقت کنم؟,"برای رسید موقت کردن یک کالا، ابتدا مسیر زیر را طی کنید:

منوی عمومی / تدارکات و لجستیک/ مدیریت موجودی کالا/ انبار و حسابداری انبار/ عملیات انبار/ ثبت سند انبار. 

سپس از قسمت رسیدها در موجودی‌های موقت، رسید موقت را انتخاب نمایید. اطلاعات سربرگ را تکمیل کرده و کالای مورد نظر را با زدن دکمه افزودن به سند اضافه کنید. تیک «کنترل کیفیت» را برای آن کالا بزنید و سند را ذخیره کنید.","تصویر ‌‌8: تعیین بازرسی کیفی برای کالا
پس از تعیین بازرسی کیفی برای کالا نوبت به ثبت رسید موقت عمومی می‌رسد. برای ثبت یک رسید موقت ابتدا لازم است تا از منوی عمومی / تدارکات و لجستیک/ مدیریت موجودی کالا/ انبار و حسابداری انبار/عملیات انبار/ گزینه ثبت سند انبار را انتخاب کرده و از قسمت رسیدها در موجودی‌های موقت گزینه رسید موقت را انتخاب کنید.
تصویر ‌‌9: کادر محاوره رسید موقت عمومی
نکته 1: برای اینکه ورود و خروج موقت هر کالایی به هر دلیلی به انبار را تحت کنترل داشته باشیم، به‌صورت کلی از رسید موقت و برگشت رسید موقت استفاده می‌کنیم.
نکته 2: رسید موقت عمومی حکم یک رسید موقت و برگشت رسید موقت عمومی حکم یک حواله موقت را دارد.
رسید موقت
گاهی کالایی که وارد انبار می‌شود نباید جزو موجودی قطعی مؤسسه به حساب آید و نیاز است که توسط یک واحد خاص همانند کنترل کیفیت مورد بررسی قرار گیرد و از لحاظ کیفی، صحت کالا تأیید شود، در این شرایط از اسناد موقت استفاده می‌کنیم. اسناد موقت در موجودی موقت نمایش داده می‌شوند.
تصویر ‌‌9: کادر محاوره رسید موقت عمومی
سپس گام‌های زیر را دنبال کنید:
اطلاعات سربرگ در رسید موقت عمومی را تکمیل کنید.
در قسمت اقلام با استفاده از دکمه افزودن کالای مورد نظر را به رسید موقت اضافه کرده و تیک «کنترل کیفیت» را در سطح قلم سند برای کالا مشخص کنید.
سند را ذخیره کنید.
تصویر ‌‌52: کادر محاوره‌ی ثبت رسید موقت عمومی",,2024-05-28 07:03:52.055505+00:00,,
327,"2024-05-28 07:11:51,035",INFO,call llm,548a3559-8901-41b0-ab6a-0a2b845894d0,چجوری کالایی که به انبارم رسید موقت شده رو دائمی کنم؟,"برای تبدیل رسید موقت کالا به دائمی، مجدداً مسیر زیر را طی نمایید:

منوی عمومی / تدارکات و لجستیک/ مدیریت موجودی کالا/ انبار و حسابداری انبار/ عملیات انبار/ ثبت سند انبار. 

اقدامات لازم برای تبدیل رسید موقت به دائمی را بفرمایید:

۱- از قسمت رسیدها در موجودی‌های موقت، رسید موقتی که قبلاً صادر شده را انتخاب نمایید.

۲- روی آن رسید گزینه «بازرسی» کلیک کنید. پس از تائید کیفی رسید، امکان تبدیل آن به دائمی فراهم می‌شود.

۳- حالا در قسمت رسیدها، رسید مورد نظر را باز کرده و با زدن دکمه «دائمی» نوع سند را تغییر دهید.

۴- اطلاعات سربرگ را ویرایش و ذخیره نمایید.","بستن انبار و انتقال موجودي
تصویر ‌‌8: تعیین بازرسی کیفی برای کالا
پس از تعیین بازرسی کیفی برای کالا نوبت به ثبت رسید موقت عمومی می‌رسد. برای ثبت یک رسید موقت ابتدا لازم است تا از منوی عمومی / تدارکات و لجستیک/ مدیریت موجودی کالا/ انبار و حسابداری انبار/عملیات انبار/ گزینه ثبت سند انبار را انتخاب کرده و از قسمت رسیدها در موجودی‌های موقت گزینه رسید موقت را انتخاب کنید.
تصویر ‌‌9: کادر محاوره رسید موقت عمومی
تصویر ‌‌9: کادر محاوره رسید موقت عمومی
سپس گام‌های زیر را دنبال کنید:
اطلاعات سربرگ در رسید موقت عمومی را تکمیل کنید.
در قسمت اقلام با استفاده از دکمه افزودن کالای مورد نظر را به رسید موقت اضافه کرده و تیک «کنترل کیفیت» را در سطح قلم سند برای کالا مشخص کنید.
سند را ذخیره کنید.
تصویر ‌‌52: کادر محاوره‌ی ثبت رسید موقت عمومی
نکته 4: با توجه به اینکه در بعضی موارد موجودی موقت برای قطعی شدن نیاز به تأیید خاص دارد، امکان بازرسی و تأیید روی این سند اضافه شده است، بدین ترتیب کاربر می‌تواند رسید موقت را بازرسی و سپس تأیید و یا رد کند. در این شرایط تا زمانی که موجودی موقت تأیید نشود امکان استفاده از آن رسید موقت در سایر رسیدهای انبار وجود ندارد. در سطح هر سند رسید موقت می‌توانید مشخص کنید که این سند از پروسه تأیید و رد کیفی","user: چجوری یه کالا رو تو انبار رسید موقت کنم؟
assistant: برای رسید موقت کردن یک کالا، ابتدا مسیر زیر را طی کنید:

منوی عمومی / تدارکات و لجستیک/ مدیریت موجودی کالا/ انبار و حسابداری انبار/ عملیات انبار/ ثبت سند انبار. 

سپس از قسمت رسیدها در موجودی‌های موقت، رسید موقت را انتخاب نمایید. اطلاعات سربرگ را تکمیل کرده و کالای مورد نظر را با زدن دکمه افزودن به سند اضافه کنید. تیک «کنترل کیفیت» را برای آن کالا بزنید و سند را ذخیره کنید.",2024-05-28 07:11:51.035414+00:00,,
366,"2024-05-28 10:31:25,559",INFO,feedback submitted,0489847e-4801-4637-979b-ae8fbf981f24,,,,,2024-05-28 10:31:25.559347+00:00,🙂,"تو فایل Anbar قسمت بهتری برای جواب این سوال هست ""ثبت رسید موقت"""
