query,schema,sql,model_response
پیراهن مردانه یقه 7 سایز لارج، تو کدوم طبقه حساب تعریف شده؟,INV,"SELECT part_account_category_title
FROM part
WHERE Title Like ‘%پیراهن مردانه یقه 7 سایز لارج%’
","```
SELECT p.CODE, pac.TITLE AS PART_ACCOUNT_CATEGORY_TITLE
FROM PART p
JOIN UNIT u ON p.MAJOR_UNIT_TITLE = u.TITLE
WHERE p.TITLE LIKE '%پیراهن مردانه یقه 7 سایز لارج%';
```"
کالای 8143000120 با چه طبقه حسابی تو سیستم تعریف شده؟,INV,"SELECT part_account_category_title
FROM part
WHERE code = ‘8143000120’
","```
SELECT PART_ACCOUNT_CATEGORY_TITLE 
FROM PART 
WHERE CODE = '8143000120';
```"
کدوم کالاها واحد سنجش دومشون کارتن 12 تاییه؟,INV,"SELECT TOP (10) Title
FROM part
WHERE secondary_unit_title = ‘کارتن 12 تایی’
","```
SELECT p.CODE, u.DIMENSION
FROM PART p
JOIN UNIT u ON p.SECONDARY_UNIT_TITLE = u.TITLE
WHERE u.TITLE = 'کارتن' AND p.SECONDARY_UNIT_QUANTITY = 12;
```"
کد الگوی سند خرید خارجی چیه؟,INV,"SELECT code
FROM Voucher_Specification
WHERE title LIKE ‘%خرید خارجی%’
","```
SELECT CODE 
FROM VOUCHER_SPECIFICATION 
WHERE VOUCHER_TYPE = 'خرید' AND PURCHASE_TYPE = 'خارجی';
```"
الگوی سند انبار با کد VS_EXP_005 رو میخوام,INV,"SELECT title
FROM Voucher_Specification
WHERE code = ‘VS_EXP_00’
","```
SELECT * FROM VOUCHER_SPECIFICATION WHERE CODE = 'VS_EXP_005';
```"
جهت سند تو الگوی امانی دیگران نزد ما چی تعریف شده؟,INV,"SELECT direction
FROM Voucher_Specification
WHERE title LIKE ‘%امانی دیگران نزد ما%’
","```
SELECT vs.TITLE, vs.VOUCHER_TYPE, vs.DIRECTION, vs.PURCHASE_TYPE, vs.TYPE_OF_EFFECT, vs.COUNTER_PART_TYPE 
FROM VOUCHER_SPECIFICATION vs 
WHERE vs.VOUCHER_TYPE = 'امانی' AND vs.DIRECTION = 'ورودی';
```"
"کدوم الگوها با جهت سند ""هر دو"" تو سیستم تعریف شدن؟",INV,"SELECT title
FROM Voucher_Specification
WHERE direction = ‘هر دو’
","```
SELECT VS.CODE, VS.TITLE
FROM VOUCHER_SPECIFICATION VS
WHERE VS.DIRECTION = 'هر دو';
```"
جهت سند برای الگوی VS_EXP_005 چیه؟,INV,"SELECT direction
FROM Voucher_Specification
WHERE Code = ‘VS_EXP_005’
",SELECT * FROM INV_VOUCHER WHERE VOUCHER_SPECIFICATION_REF IN (SELECT ID FROM VOUCHER_SPECIFICATION WHERE CODE = 'VS_EXP_005');
نوع خرید برای الگوی VS_EXP_005 داخلیه یا خارجی؟,INV,"SELECT Purchase_Type
FROM Voucher_Specification
WHERE Code = ‘VS_EXP_005’
","```
SELECT PURCHASE_TYPE 
FROM VOUCHER_SPECIFICATION 
WHERE CODE = 'VS_EXP_005';
```"
الگوهای نوع خرید داخلی رو برام لیست کن,INV,"SELECT title
FROM Voucher_Specification
WHERE purchase_Type = ‘داخلی’
","```
SELECT *
FROM VOUCHER_SPECIFICATION
WHERE VOUCHER_TYPE = 'خرید' AND PURCHASE_TYPE = 'داخلی';
```"
"الگوهایی که نوع تاثیر بر موجودیشون ""موقت"" هستن کدومهان؟",INV,"SELECT title
FROM Voucher_Specification
WHERE type_of_effect = ‘موقت’
","```
SELECT CODE, TITLE 
FROM VOUCHER_SPECIFICATION 
WHERE TYPE_OF_EFFECT = 'موقت';
```"
"نوع تاثیر بر موجودی ""برگشت به تولید"" چیه؟",INV,"SELECT type_of_effect
FROM voucher_specification
WHERE title LIKE ‘%برگشت به تولید%’
","```
SELECT TYPE_OF_EFFECT 
FROM VOUCHER_SPECIFICATION 
WHERE TITLE = 'برگشت به تولید';
```"
انواع تاثیر بر موجودی برای الگوها چی ها هستن؟,INV,"SELECT DISTINCT type_of_effect
FROM voucher_specification
","```
SELECT DISTINCT TYPE_OF_EFFECT FROM VOUCHER_SPECIFICATION;
```"
نوع طرف مقابل تعریف شده برای الگوی دریافت ضایعات تولید چی تعریف شده؟,INV,"SELECT counter_Part_Type
FROM voucher_specification
WHERE title ‘%دریافت ضایعات%’
","```
SELECT COUNTER_PART_TYPE 
FROM VOUCHER_SPECIFICATION 
WHERE VOUCHER_TYPE = 'ضایعات' AND DIRECTION = 'ورودی';
```"
لیست الگوهایی که طرف مقال اونها شخص-شرکت هستن رو نشون بده ,INV,"SELECT title
FROM voucher_specification
WHERE counter_Part_Type = ‘شخص - شرکت’","```
SELECT vs.CODE, vs.TITLE
FROM VOUCHER_SPECIFICATION vs
WHERE vs.COUNTER_PART_TYPE IN ('شخص', 'شرکت');
```"
انواع طرف مقابل تعریف شده برای الگوهای اسناد انبار چی ها هستن؟,INV,"SELECT DISTINCT counter_Part_Type
FROM voucher_specification
","```
SELECT DISTINCT COUNTER_PART_TYPE FROM VOUCHER_SPECIFICATION;
```"
الگوهای تحویل دارایی ثابت، چه نوع طرف مقابل هایی دارن؟,INV,"SELECT counter_Part_Type
FROM voucher_specification
WHERE voucher_Type = ‘تحویل دارایی ثابت’
","```
SELECT DISTINCT COUNTER_PART_TYPE 
FROM VOUCHER_SPECIFICATION 
WHERE VOUCHER_TYPE = 'تحویل دارایی ثابت';
```"
"آخرین سند انبار ثبت شده در انبار ""مواد اولیه مصرفی تولید"" مربوط به چه تاریخی هست؟",INV,"SELECT TOP (1) DATE
FROM Voucher
JOIN store ON Inv_Voucher.Store_Id = Store.Id
WHERE store.title LIKE ‘%مواد اولیه مصرفی تولید%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
ORDER BY DATE DESC
","```
SELECT MAX(i.DATE) AS LAST_VOUCHER_DATE
FROM INV_VOCHER i
JOIN STORE s ON i.STORE_REF = s.ID
WHERE s.TITLE = 'مواد اولیه مصرفی تولید';
```"
"کد سند مربوط به آخرین سند انبار ثبت شده در انبار ""مواد اولیه مصرفی تولید"" چیه؟",INV,"SELECT TOP (1) number
FROM Voucher
JOIN store ON Inv_Voucher.Store_Id = Store.Id
WHERE store.title LIKE ‘%مواد اولیه مصرفی تولید%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
ORDER BY DATE DESC
","```
SELECT iv.NUMBER AS VOUCHER_CODE
FROM INV_VOCHER iv
JOIN STORE s ON iv.STORE_REF = s.ID
WHERE s.TITLE = 'مواد اولیه مصرفی تولید'
ORDER BY iv.DATE DESC
LIMIT 1;
```"
وضعیت سند انبار با شماره 540122301 چیه؟,INV,"SELECT STATE
FROM Voucher
WHERE number = ‘540122301’
","```
SELECT STATE 
FROM INV_VOCHER 
WHERE NUMBER = '540122301';
```"
"معین مربوط به سند 540122301 تو انبار ""دارایی های ثابت"" چیه؟",INV,"SELECT SL_TITLE
FROM Voucher
JOIN store ON Inv_Voucher.Store_ID = Store.Id
WHERE store.title LIKE ‘%دارایی های ثابت%’
","```
SELECT ivi.SL_TITLE, p.TITLE AS PART_TITLE, u.TITLE AS UNIT_TITLE, ivi.QUANTITY, ivi.MAJOR_QUANTITY, ivi.SECOND_UNIT_QUANTITY
FROM INV_VOCHER iv
JOIN INV_VOCHER_ITEM ivi ON iv.ID = ivi.VOUCHER_SPECIFICATION_REF
JOIN PART p ON ivi.PART_REF = p.ID
JOIN UNIT u ON ivi.UNIT_REF = u.ID
WHERE iv.NUMBER = '540122301' AND s.TITLE = 'دارایی های ثابت';
```"
شرح سند 540122301 رو میخوام,INV,"SELECT description
FROM voucher
WHERE number = ‘540122301’
","```
SELECT * 
FROM INV_VOCHER 
WHERE NUMBER = '540122301';
```"
"کد آخرین سند رسید خرید داخلی به انبار ""مواد اولیه تولید"" چیه؟",INV,"SELECT number
FROM voucher
JOIN store ON Inv_Voucher.Store_id = store.id
JOIN voucher_specification ON voucher_specification.id = Inv_Voucher.voucher_specification_id
WHERE store.title LIKE ‘%مواد اولیه تولید%’
	AND voucher_Specification.title LIKE ‘%رسید خرید%‘
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
","```
SELECT iv.NUMBER
FROM INV_VOCHER iv
JOIN VOUCHER_SPECIFICATION vs ON iv.VOUCHER_SPECIFICATION_REF = vs.ID
WHERE vs.VOUCHER_TYPE = 'خرید' AND vs.PURCHASE_TYPE = 'داخلی' AND iv.STATE = 'ثبت شده'
ORDER BY iv.DATE DESC
LIMIT 1;
```"
مرکز هزینه سند 540122301 مربوط به انبار مواد اولیه چیه؟,INV,"SELECT COST_CENTER_TITLE
FROM voucher
JOIN store ON Inv_Voucher.store_id = store.id
WHERE Inv_Voucher.number = ‘540122301’
	AND store.title LIKE ‘%مواد اولیه%’
","```
SELECT COST_CENTER_TITLE 
FROM INV_VOUCHER 
WHERE NUMBER = '540122301' AND STORE_REF IN (
    SELECT ID 
    FROM STORE 
    WHERE TITLE LIKE '%مواد اولیه%'
);
```"
اسناد امروز مربوط به انبار مواد اولیه مصرفی که باطل شدن رو میخوام,INV,"SELECT number
FROM voucher
JOIN store ON Inv_Voucher.store_id = store.id
WHERE Inv_Voucher.DATE = CAST(getdate() AS DATE)
	AND store.title LIKE ‘%مواد اولیه%’
	AND Inv_Voucher.STATE = ‘باطل شده’
","```
SELECT iv.*
FROM INV_VOUCHER iv
JOIN INV_VOUCHER_SPECIFICATION vs ON iv.VOUCHER_SPECIFICATION_REF = vs.ID
JOIN PART p ON iv.PART_REF IN (SELECT ID FROM PART WHERE PART_TYPE = 'ماده اولیه')
WHERE iv.STATE = 'باطل شده' AND TRUNC(SYSDATE) = iv.DATE;
```"
کالای DRI امروز از انبار مواد اولیه مصرفی تولید، به کدوم انبار انتقال داده شده؟,INV,"SELECT TOP (1) Store_2.Title
FROM Voucher
JOIN Store ON Inv_Voucher.Store_id = Store.Id
JOIN Store AS Store_2 ON Inv_Voucher.COUNTER_PART_STORE_ID = Store_2.id
JOIN Inv_Voucher_Item ON Inv_Voucher.id = Inv_Voucher_Item.INVENTORY_VOUCHER_ID
JOIN Voucher_Specification ON Voucher_Specification.Id = Inv_Voucher.Voucher_Specification_id
WHERE Inv_Voucher.DATE = CAST(getdate() AS DATE)
	AND store.title LIKE ‘%مواد اولیه مصرفی تولید%’
	AND Inv_Voucher.COUNTER_PART_STORE_ID IS NOT NULL
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
	AND VOUCHER_SPECIFICATION.Voucher_Type = ‘انتقال بین انبار’
","```
SELECT ivi.PART_REF, p.TITLE, iv.NUMBER, iv.DATE, s.CODE, s.TITLE 
FROM INV_VOCHER iv 
JOIN INV_VOCHER_ITEM ivi ON iv.ID = ivi.VOUCHER_SPECIFICATION_REF 
JOIN STORE s ON iv.STORE_REF2 = s.ID 
JOIN PART p ON ivi.PART_REF = p.ID 
WHERE p.TITLE = 'DRI' AND iv.DATE = (SELECT MAX(DATE) FROM INV_VOCHER WHERE DATE <= CURRENT_DATE) AND iv.VOUCHER_SPECIFICATION_REF IN (
  SELECT vs.ID 
  FROM VOUCHER_SPECIFICATION vs 
  WHERE vs.VOUCHER_TYPE = 'انتقال بین انبار' AND vs.DIRECTION = 'خروجی'
);
```"
"لیست تمام کالاهایی که امروز به انبار ""دارایی های ثابت"" انتقال داده شده اند رو میخوام",INV,"SELECT DISTINCT Part.Title
FROM Inv_Voucher_Item
JOIN Inv_Voucher ON Inv_Voucher_Item.Inventory_Voucher_id = Inv_Voucher.Id
JOIN part ON Inv_Voucher_Item.Part_id = Part.Id
JOIN Store ON Store.Id = Inv_Voucher.COUNTER_PART_STORE_ID
JOIN VOUCHER_SPECIFICATION ON Inv_Voucher.VOUCHER_SPECIFICATION_ID = VOUCHER_SPECIFICATION.Id
WHERE Inv_Voucher.DATE = CAST(getdate() AS DATE)
	AND Inv_Voucher.COUNTER_PART_STORE_ID IS NOT NULL
	AND VOUCHER_SPECIFICATION.Voucher_Type = ‘انتقال بین انبار’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
","```
SELECT p.TITLE, ivi.QUANTITY, u.TITLE AS UNIT_TITLE
FROM INV_VOUCHER iv
JOIN INV_VOUCHER_ITEM ivi ON iv.ID = ivi.VOUCHER_SPECIFICATION_REF
JOIN PART p ON ivi.PART_REF = p.ID
JOIN UNIT u ON ivi.UNIT_REF = u.ID
WHERE iv.STATE = 'ثبت شده' AND iv.DATE = CURRENT_DATE AND iv.STORE_REF2 IN (
  SELECT s.ID
  FROM STORE s
  WHERE s.TITLE = 'دارایی های ثابت'
)
AND iv.VOUCHER_SPECIFICATION_REF IN (
  SELECT vs.ID
  FROM VOUCHER_SPECIFICATION vs
  WHERE vs.VOUCHER_TYPE = 'انتقال بین انبار' AND vs.DIRECTION = 'ورودی'
);
```"
شماره اولین سند ثبت شده در ماه اردیبهشت در انبار مواد اولیه مصرفی چی بوده؟,INV,"SELECT TOP (1) number
FROM voucher
JOIN store ON Inv_Voucher.store_id = store.id
WHERE Inv_Voucher.DATE >= shamsiTomiladi(cast(‘1403 / 02 / 01 ’) AS DATE)
	AND store.title LIKE ‘%مواد اولیه مصرفی تولید%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
ORDER BY Inv_Voucher.DATE
	,voucher.id
","```
SELECT MIN(iv.NUMBER) AS FIRST_VOUCHER_NUMBER
FROM INV_VOCHER iv
JOIN STORE s ON iv.STORE_REF = s.ID
WHERE s.TITLE LIKE '%مواد اولیه مصرفی%' AND 
      MONTH(iv.DATE) = 2 AND 
      YEAR(iv.DATE) = (YEAR(CURRENT_DATE) - (CASE WHEN MONTH(CURRENT_DATE) < 3 THEN 1 ELSE 0 END));
```"
شماره آخرین سند ثبت شده در ماه اردیبهشت در انبار مواد اولیه مصرفی چی بوده؟,INV,"SELECT TOP (1) number
FROM voucher
JOIN store ON Inv_Voucher.store_id = store.id
WHERE Inv_Voucher.DATE >= shamsiTomiladi(cast(‘1403 / 02 / 31 ’) AS DATE)
	AND store.title LIKE ‘%مواد اولیه مصرفی تولید%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
ORDER BY Inv_Voucher.DATE DESC
	,voucher.id DESC
","```
SELECT MAX(i.NUMBER) AS LAST_VOUCHER_NUMBER
FROM INV_VOCHER i
JOIN STORE s ON i.STORE_REF = s.ID
WHERE MONTH(i.DATE) = 2 AND s.TITLE LIKE '%مواد اولیه مصرفی%';
```"
کالای DRI که امروز تو انبار مواد اولیه مصرفی تولید با شماره  540122301 رسید شده مربوط به چه پروژه ای هست؟,INV,"SELECT Inv_Voucher.PROJECT_TITLE
FROM Voucher
JOIN Store ON Inv_Voucher.Store_Id = Store.Id
JOIN Voucher_Specification ON Inv_Voucher.Voucher_Specification_id = Voucher_Specification.Id
WHERE Inv_Voucher.Number = ‘540122301’
	AND Inv_Voucher.DATE = Cast(getdate() AS DATE)
	AND Store.Title LIKE ‘%مواد اولیه مصرفی تولید%’
	AND Voucher_Specification.Direction = ‘ورودی’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
","```
SELECT ivi.PART_REF, p.TITLE, iv.VOUCHER_SPECIFICATION_REF, vs.TITLE, iv.PROJECT_TITLE 
FROM INV_VOCHER_ITEM ivi 
JOIN INV_VOCHER iv ON ivi.VOUCHER_REF = iv.ID 
JOIN PART p ON ivi.PART_REF = p.ID 
JOIN VOUCHER_SPECIFICATION vs ON iv.VOUCHER_SPECIFICATION_REF = vs.ID 
WHERE p.TITLE = 'DRI' AND iv.DATE = CURRENT_DATE AND iv.STATE = 'ثبت شده' AND vs.VOUCHER_TYPE = 'تولید';
```"
"تحویل گیرنده ""لپ تاپ 17 اینچ ASUS"" دیروز از انبار ""دارایی های ثابت سیرجان"" کی بوده؟",INV,"SELECT Inv_Voucher.Deliver_To
FROM Voucher
JOIN Store ON Store.Id = Inv_Voucher.Store_id
JOIN INV_VOUCHER_ITEM ON INV_VOUCHER_ITEM.INVENTORY_VOUCHER_ID = Inv_Voucher.Id
WHERE Inv_Voucher.DATE = CAST(Adddate(Day, - 1, getdate()) AS DATE)
	AND part.title LIKE ‘%لپ تاپ 17 اینچ ASUS%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
	AND Inv_Voucher.Deliver_To IS NOT NULL
","```
SELECT ivi.DELIVER_TO, iv.DATE 
FROM INV_VOUCHER iv 
JOIN INV_VOUCHER_ITEM ivi ON iv.ID = ivi.VOUCHER_SPECIFICATION_REF 
JOIN STORE s ON iv.STORE_REF = s.ID 
JOIN PART p ON ivi.PART_REF = p.ID 
WHERE p.TITLE = 'لپ تاپ 17 اینچ ASUS' AND s.TITLE = 'دارایی های ثابت سیرجان' AND iv.DATE = DATE_SUB(CURRENT_DATE, INTERVAL 1 DAY);
```"
جمع کل آهن اسفنجی که بابت شماره سفارش خرید 14030124500 رسید شده چقدره؟,INV,"SELECT SUM(Inv_Voucher_Item.MAJOR_QUANTITY)
FROM inv_Voucher_Item
JOIN Inv_Voucher ON inv_Voucher_Item.INVENTORY_VOUCHER_ID = Inv_Voucher.Id
JOIN Part ON inv_Voucher_Item.Part_Id = Part.Id
JOIN Voucher_Specification ON Voucher_Specification.Id = Inv_Voucher.Voucher_Specification_Id
WHERE Inv_Voucher.PURCHASE_ORDER_NO = ‘14030124500’
	AND Part.Title LIKE ‘%آهن اسفنجی%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
	AND Voucher_ Specification.Direction = ‘ورودی’
","```
SELECT SUM(ivi.MAJOR_QUANTITY) AS Total_Iron_Sponge_Quantity
FROM INV_VOCHER iv 
JOIN INV_VOCHER_ITEM ivi ON iv.ID = ivi.VOUCHER_SPECIFICATION_REF 
JOIN PART p ON ivi.PART_REF = p.ID 
WHERE iv.NUMBER = '14030124500' AND p.TITLE LIKE '%آهن اسفنجی%';
```"
میانگین هر بار خروج کالا از انبار بابت کالای DRI برای تولید چقدر بوده؟,INV,"SELECT AVG(Inv_Voucher_Item.MAJOR_QUANTITY)
FROM inv_Voucher_Item
JOIN Inv_Voucher ON inv_Voucher_Item.INVENTORY_VOUCHER_ID = Inv_Voucher.Id
JOIN Part ON inv_Voucher_Item.Part_Id = Part.Id
JOIN Voucher_Specification ON Voucher_Specification.Id = Inv_Voucher.Voucher_Specification_Id
WHERE Part.Title LIKE ‘%DRI%’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
	AND Voucher_Specification.Direction = ‘خروجی’
	AND Voucher_Specification.Title LIKE ‘%تولید%’
	AND Voucher_Specification.Direction = ‘خروجی’
	AND Inv_Voucher.DATE >= ShamsiToMiladi(‘1403 / 01 / 01 ’)
","```
SELECT AVG(QUANTITY) AS AVERAGE_QUANTITY
FROM INV_VOUCHER_ITEM
WHERE PART_REF IN (
  SELECT ID
  FROM PART
  WHERE TITLE = 'DRI'
) AND VOUCHER_SPECIFICATION_REF IN (
  SELECT ID
  FROM VOUCHER_SPECIFICATION
  WHERE VOUCHER_TYPE = 'تولید' AND DIRECTION = 'خروجی'
);
```"
شماره سفارش فروش مربوط به حواله فروش سند انبار 54002154 چیه؟,INV,"SELECT Inv_Voucher.SALES_ORDER_NO
FROM Voucher
JOIN Voucher_Specification ON Voucher_Specification.Id = Inv_Voucher.Voucher_Specification_Id
WHERE Inv_Voucher.Number = ‘54002154’
	AND Voucher_Specification.Title LIKE ‘%فروش%’
	AND Voucher_Specification.Direction = ‘خروجی’
	AND Inv_Voucher.STATE IN (
		‘تایید شده’
		,’ثبت شده’)
","```
SELECT iv.NUMBER AS VOUCHER_NUMBER
FROM INV_VOCHER iv
WHERE iv.ID = (
    SELECT ivi.VOUCHER_SPECIFICATION_REF 
    FROM INV_VOCHER_ITEM ivi 
    WHERE ivi.NUMBER = '54002154'
)
AND iv.VOUCHER_TYPE = 'فروش';
```"
